Fisher Information,Fisher Information,Geodesic Distance,Geodesic Distance,Geodesic Distance,Fisher Information,Fisher Information
217.01388888888889,217.01388888888889,0.11313708498984755,0.11313708498984755,0.25455844122715715,312.49999999999994,291.3752913752914
248.015873015873,248.015873015873,,,,212.22410865874363,212.22410865874363
415.28239202657807,415.28239202657807,,,,274.12280701754383,291.3752913752914
208.33333333333334,208.33333333333334,,,,238.0952380952381,473.4848484848485
200.0,200.0,,,,205.25451559934316,238.0952380952381
312.49999999999994,312.49999999999994,,,,222.81639928698755,205.25451559934316
274.12280701754383,274.12280701754383,,,,205.25451559934316,248.015873015873
415.28239202657807,415.28239202657807,,,,259.87525987525987,248.015873015873
473.4848484848485,473.4848484848485,,,,372.0238095238095,212.22410865874363
312.49999999999994,312.49999999999994,,,,338.7533875338753,202.9220779220779
238.0952380952381,238.0952380952381,,,,338.7533875338753,248.015873015873
415.28239202657807,415.28239202657807,,,,202.9220779220779,259.87525987525987
,,,,,,274.12280701754383
,,,,,,372.0238095238095
,,,,,,338.7533875338753
,,,,,,202.9220779220779
,,,,,,312.49999999999994
,,,,,,415.28239202657807
,,,,,,415.28239202657807
,,,,,,217.01388888888889
,,,,,,259.87525987525987
,,,,,,222.81639928698755
,,,,,,259.87525987525987
,,,,,,222.81639928698755
,,,,,,229.77941176470588
,,,,,,415.28239202657807
,,,,,,679.3478260869565
,,,,,,274.12280701754383
,,,,,,312.49999999999994
,,,,,,238.0952380952381
,,,,,,238.0952380952381
,,,,,,229.77941176470588
,,,,,,312.49999999999994
,,,,,,274.12280701754383
,,,,,,222.81639928698755
,,,,,,200.32051282051282
,,,,,,202.9220779220779
,,,,,,1302.0833333333335
,,,,,,312.49999999999994
,,,,,,238.0952380952381
,,,,,,372.0238095238095
,,,,,,202.9220779220779
,,,,,,208.33333333333334
,,,,,,415.28239202657807
,,,,,,555.5555555555555
,,,,,,229.77941176470588
,,,,,,415.28239202657807
,,,,,,200.32051282051282
,,,,,,238.0952380952381
,,,,,,415.28239202657807
,,,,,,212.22410865874363
,,,,,,259.87525987525987
,,,,,,217.01388888888889
,,,,,,222.81639928698755
,,,,,,238.0952380952381
,,,,,,208.33333333333334
,,,,,,473.4848484848485
,,,,,,259.87525987525987
,,,,,,202.9220779220779
,,,,,,212.22410865874363
,,,,,,201.2882447665056
,,,,,,415.28239202657807
,,,,,,473.4848484848485
,,,,,,229.77941176470588
,,,,,,274.12280701754383
,,,,,,217.01388888888889
,,,,,,473.4848484848485
,,,,,,259.87525987525987
,,,,,,274.12280701754383
,,,,,,372.0238095238095
,,,,,,229.77941176470588
,,,,,,274.12280701754383
,,,,,,2551.0204081632655
,,,,,,212.22410865874363
,,,,,,217.01388888888889
,,,,,,208.33333333333334
,,,,,,372.0238095238095
,,,,,,274.12280701754383
,,,,,,248.015873015873
,,,,,,200.32051282051282
,,,,,,473.4848484848485
,,,,,,372.0238095238095
,,,,,,312.49999999999994
,,,,,,208.33333333333334
,,,,,,555.5555555555555
,,,,,,291.3752913752914
,,,,,,238.0952380952381
,,,,,,274.12280701754383
,,,,,,372.0238095238095
,,,,,,312.49999999999994
,,,,,,205.25451559934316
,,,,,,473.4848484848485
,,,,,,222.81639928698755
,,,,,,217.01388888888889
,,,,,,248.015873015873
,,,,,,217.01388888888889
,,,,,,312.49999999999994
,,,,,,555.5555555555555
,,,,,,473.4848484848485
,,,,,,372.0238095238095
